last_name, first_name,player_id,year,slg_percent,on_base_percent,on_base_plus_slg,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,
Davis, Chris,448801,2018,.296,.243,.539,89.5,15.1,35.5,10.3,40.1,
Orlando, Paulo,449181,2018,.200,.194,.394,88.7,11.7,24.6,1.5,33.8,
Zobrist, Ben,450314,2018,.440,.377,.816,89.9,9,35,3,38.8,
Adduci, Jim,451192,2018,.386,.286,.673,85.9,11.2,26.1,3.7,26.1,
Fowler, Dexter,451594,2018,.298,.278,.576,85.3,12.6,30.7,3.2,28,
Flowers, Tyler,452095,2018,.359,.341,.700,90,12.9,36.9,6.8,44.6,
Headley, Chase,452104,2018,.135,.233,.368,86,10.4,28.1,0,16.1,
Pence, Hunter,452254,2018,.332,.258,.590,88,5.7,28.1,5.1,33.7,
Span, Denard,452655,2018,.419,.341,.760,87.2,13.3,36.7,2.7,29.6,
Lester, Jon,452657,2018,.169,.108,.277,88.7,0.8,23.3,4.7,32.6,
Cabrera, Asdrubal,452678,2018,.458,.316,.774,90,14.6,33.3,7.5,39.1,
Robinson, Shane,453203,2018,.224,.204,.428,85,13.2,18.2,2.3,20.5,
Scherzer, Max,453286,2018,.271,.256,.528,82.5,-1.2,21.3,1.6,16.4,
Richard, Clayton,453385,2018,.190,.137,.328,85.8,4.3,25,4.2,16.7,
Arrieta, Jake,453562,2018,.200,.180,.380,90.5,14.8,20,0,25,
Blackmon, Charlie,453568,2018,.502,.358,.859,87.5,12,34.9,6.5,35.2,
Blanco, Gregor,453923,2018,.317,.261,.579,84.6,15.1,37.6,3.8,23.5,
Frazier, Todd,453943,2018,.390,.303,.693,89.6,18.9,31.6,6.9,37.1,
Ellis, A.J.,454560,2018,.344,.372,.716,90.4,12.5,34.5,4.2,39.5,
Iannetta, Chris,455104,2018,.385,.344,.729,92,13.6,36.6,9.3,43.7,
Maldonado, Martin,455117,2018,.351,.275,.626,85.9,14.7,31.5,5,26.5,
Chirinos, Robinson,455139,2018,.419,.338,.757,88,21.9,36.5,10.8,39.6,
Young, Chris,455759,2018,.363,.250,.613,83.8,25.5,30.8,6.4,28.6,
Markakis, Nick,455976,2018,.440,.366,.806,90.6,10.1,38.4,3.1,41.6,
Castillo, Welington,456078,2018,.406,.304,.710,90.4,15.5,35.5,9.7,46,
Kratz, Erik,456124,2018,.355,.279,.633,89.8,12.9,28.3,4.8,39.2,
Nunez, Eduardo,456488,2018,.388,.289,.676,88.4,9.4,27.2,3.4,35.7,
Pearce, Steve,456665,2018,.512,.378,.890,89.3,11.8,35.2,10.8,39.2,
Cain, Lorenzo,456715,2018,.417,.395,.813,89.1,4.9,30.9,3.4,40.5,
McCutchen, Andrew,457705,2018,.424,.368,.792,90,13.4,36.2,8.4,41.9,
Jackson, Austin,457706,2018,.326,.299,.624,87.5,11.2,33,2.8,32.2,
Upton, Justin,457708,2018,.463,.344,.808,90.9,11.9,34.7,14,47.4,
Maybin, Cameron,457727,2018,.336,.326,.662,86.7,7.9,34.6,4.1,33.1,
Turner, Justin,457759,2018,.518,.406,.924,89.1,18.3,44.7,7.7,36.7,
Posey III, Buster,457763,2018,.382,.359,.741,89.1,10.3,35.2,5.2,34.9,
Bruce, Jay,457803,2018,.370,.310,.680,88.3,21.4,37.6,9,34.3,
Votto, Joey,458015,2018,.419,.417,.837,88.3,13.4,46.2,6.9,35.1,
Gardner, Brett,458731,2018,.368,.320,.688,88.1,9.4,30.6,3,32.7,
Young Jr., Eric,458913,2018,.303,.248,.551,85,2.8,29.3,1.2,24.4,
Joyce, Matt,459964,2018,.353,.321,.674,87.4,14.8,38.2,7,31.8,
Hundley, Nick,460026,2018,.408,.298,.706,88.8,15.7,38.6,6.6,39.1,
Braun, Ryan,460075,2018,.469,.311,.780,92.3,6.4,36.2,10.8,49.5,
Butera, Drew,460077,2018,.301,.264,.564,86.5,18.4,32.5,1.6,26.2,
Gordon, Alex,460086,2018,.370,.324,.694,88.5,10.9,36.5,6.8,39.7,
Gimenez, Chris,460269,2018,.333,.288,.621,89.1,12.2,23.3,7,34.9,
Gomez, Carlos,460576,2018,.336,.297,.633,86.9,19.7,33.6,5,29,
Kemp, Matt,461314,2018,.481,.338,.818,89.8,15.8,42.4,11,38.8,
Gonzalez, Gio,461829,2018,.098,.091,.189,82.6,6.1,26.1,0,0,
